imdb_id,critic_reviews,user_reviews,metascore,budget,worldwide_gross
tt0328051,,,,,
tt6280722,,,,,
tt5844304,,,,,
tt0038682,3,1,,,
tt7594584,26,75,,,
tt2780610,,,,,
tt5124556,4,1,,,
tt13147112,,,,,
tt4119030,2,14,,,
tt0085648,,,,,
tt0928154,5,17,,,
tt0025176,2,5,,,
tt1074638,532,1.7K,81,,
tt0131396,3,12,,,
tt0174655,1,3,,,
tt3064338,37,3,,,
tt0052165,,,,,
tt23059396,,,,,
tt3007090,,,,,
tt0796906,,,,,
tt5218234,,,,,
tt1389752,,,,,
tt2732390,,,,,
tt0021382,2,7,,,
tt0081389,,,,,
tt8999972,6,10,,,
tt12802068,,,,,
tt3011164,,,,,
tt0057657,1,3,,,
tt0821765,,,,,
tt0349878,4,17,,,
tt3731580,9,8,,,
tt0106501,,,,,
tt0063745,,,,,
tt4783190,,,,,
tt5140182,15,3,62,,
tt2128688,,,,,
tt5278596,134,54,84,,
tt0028958,5,20,,,
tt2338480,,,,,
tt12076762,3,2,,,
tt1464605,,,,,
tt6131386,2,14,,,
tt0010298,2,2,,,
tt1522415,,,,,
tt4142728,,,,,
tt7159010,,,,,
tt12381488,1,1,,,
tt0088066,37,29,,,
tt1560136,,,,,
tt0248497,,,,,
tt0283267,,,,,
tt1429313,23,26,,,
tt0470817,,,,,
tt0014970,,,,,
tt6943138,,,,,
tt0116040,79,134,47,,
tt0091061,,,,,
tt0315940,,,,,
tt0078396,,,,,
tt10814494,,,,,
tt0086200,71,229,75,,
tt0111133,,,,,
tt0105098,,,,,
tt14354100,2,3,,,
tt0034890,23,92,,,
tt1031290,29,2,,,
tt1510274,,,,,
tt7403556,,,,,
tt10295936,6,12,,,
tt0147229,,,,,
tt0024772,42,51,,,
tt0197681,,,,,
tt3894762,2,7,,,
tt0488906,11,56,,,
tt2118662,,,,,
tt5243610,,,,,
tt1656194,30,5,,,
tt3844080,,,,,
tt0041414,1,8,,,
tt0121065,,,,,
tt3212568,23,6,73,,
tt0036592,,,,,
tt20951900,,,,,
tt0023502,,,,,
tt0224005,,,,,
tt0350610,,,,,
tt8896632,25,35,,,
tt11157030,,,,,
tt2715590,,,,,
tt0049153,,,,,
tt2274052,,,,,
tt5927562,,,,,
tt1446838,,,,,
tt4829436,2,2,,,
tt10329842,1,7,,,
tt0090565,13,14,,,
tt1947969,6,4,,,
tt0320136,,,,,
tt14581444,12,2,,,
tt4162012,12,2,,,
tt0363096,,,,,
tt0052919,,,,,
tt0012484,,,,,
tt1375668,,,,,
tt0047087,22,25,,,
tt0090090,,,,,
tt1090307,,,,,
tt7516778,3,12,,,
tt0097812,1,13,,,
tt0098220,5,18,,,
tt0160800,,,,,
tt0180264,,,,,
tt1865517,,,,,
tt0281707,,,,,
tt13276336,,,,,
tt15296658,3,1,,,
tt0041845,,,,,
tt11041352,,,,,
tt8774768,,,,,
tt5595422,,,,,
tt7424410,,,,,
tt4607906,,,,,
tt6182372,5,2,,,
tt9668966,,,,,
tt0484165,,,,,
tt0285255,,,,,
tt0302518,2,1,,,
tt0080554,8,5,,,
tt0303127,,,,,
tt0028941,5,4,,,
tt15430152,,,,,
tt18334770,,,,,
tt1320297,14,2,,,
tt11355340,,,,,
tt5216674,5,4,,,
tt11213140,,,,,
tt18966546,,,,,
tt18316132,,,,,
tt2110387,,,,,
tt0055336,7,11,,,
tt0354005,,,,,
tt0031536,11,29,,,
tt10467332,,,,,
tt7959910,,,,,
tt0323103,7,11,,,
tt1961538,,,,,
tt0025838,4,8,,,
tt0381558,,,,,
tt1393838,,,,,
tt0420241,,,,,
tt0068605,3,6,,,
tt0762121,125,222,52,,
tt10986394,9,14,,,
tt0405297,,,,,
tt0004651,,,,,
tt4768354,,,,,
tt16410620,12,4,,,
tt11859518,1,4,,,
tt0809432,25,3,,,
tt21033938,,,,,
tt5615670,,,,,
tt0031585,2,2,,,
tt6551438,,,,,
tt7474996,,,,,
tt0085236,8,15,,,
tt0283337,13,20,64,,
tt0175215,,,,,
tt0311764,,,,,
tt1492851,,,,,
tt0362100,2,2,,,
tt1230112,,,,,
tt0182028,,,,,
tt7752880,,,,,
tt0040531,,,,,
tt0213971,,,,,
tt2591834,,,,,
tt0106979,7,7,,,
tt0154553,,,,,
tt0098201,,,,,
tt0431640,,,,,
tt4870924,,,,,
tt15249650,,,,,
tt8747696,6,4,,,
tt0320483,10,28,,,
tt1042494,,,,,
tt4511566,31,47,,,
tt3093520,14,5,56,,
tt0064553,16,19,,,
tt0209463,78,58,86,,
tt1037223,39,8,55,,
tt0044377,,,,,
tt0306452,,,,,
tt0386514,,,,,
tt11552492,,,,,
tt1332125,13,9,,,
tt0236165,1,1,,,
tt0378430,,,,,
tt0164353,,,,,
tt0104545,21,47,,,
tt0095860,,,,,
tt1003189,1,1,,,
tt0286244,164,324,91,,
tt1873586,,,,,
tt1398944,,,,,
tt9306714,,,,,
tt4721124,63,108,60,,
tt0182481,,,,,
tt2668150,22,2,,,
tt11045566,6,37,,,
tt0272012,6,1,,,
tt5123970,,,,,
tt0132907,2,16,,,
tt8633088,,,,,
tt0087364,,,,,
tt0127272,2,11,,,
tt0211661,28,36,,,
tt0030118,1,2,,,
tt0201899,18,37,35,,
tt6892064,5,26,,,
tt8174446,,,,,
tt0190319,,,,,
tt4321938,,,,,
tt0059805,,,,,
tt0156298,,,,,
tt0134771,15,8,,,
tt0229193,,,,,
tt2315152,26,47,,,
tt5126986,,,,,
tt1338636,,,,,
tt5153158,,,,,
tt6037540,,,,,
tt6499694,4,26,,,
tt0100704,,,,,
tt0104528,,,,,
tt8746608,,,,,
tt14011090,,,,,
tt0012520,,,,,
tt0059233,,,,,
tt16254016,,,,,
tt0144142,37,40,44,,
tt0910885,47,64,28,,
tt0141186,3,8,,,
tt6681608,,,,,
tt0062912,2,1,,,
tt2193199,,,,,
tt0061481,,,,,
tt0243481,,,,,
tt0378528,,,,,
tt1784606,,,,,
tt0039064,1,9,,,
tt0138845,,,,,
tt0388932,,,,,
tt0060826,2,3,,,
tt0197490,,,,,
tt6836936,23,899,,,
tt6567022,,,,,
tt10612922,259,265,83,,
tt5862688,,,,,
tt0063751,15,6,,,
tt12213088,,,,,
tt1401224,,,,,
tt14555712,,,,,
tt15174040,15,5,81,,
tt1185344,24,19,41,,
tt0031468,,,,,
tt0208583,,,,,
tt14775838,,,,,
tt0867465,2,2,,,
tt2385952,,,,,
tt9078990,,,,,
tt2517256,,,,,
tt0778829,,,,,
tt14104780,11,1,,,
tt0199853,7,3,,,
tt22777864,,,,,
tt20318356,,,,,
tt0175753,,,,,
tt0091696,2,3,,,
tt0084159,,,,,
tt0313250,6,23,,,
tt2933544,77,77,55,,
tt0263905,2,3,,,
tt3703382,,,,,
tt3697222,,,,,
tt0476988,,,,,
tt0078090,,,,,
tt2245003,111,61,59,,
tt0317273,4,5,,,
tt1899127,,,,,
tt0023057,,,,,
tt7631816,15,6,,,
tt0405775,,,,,
tt6953792,,,,,
tt0001586,,,,,
tt2220006,1,1,,,
tt0078846,37,22,64,,
tt0033393,1,2,,,
tt0251047,,,,,
tt1604115,,,,,
tt9101048,,,,,
tt0334807,,,,,
tt1838519,,,,,
tt0178850,,,,,
tt3564472,118,246,71,,
tt0482034,,,,,
tt4155384,,,,,
tt7618636,,,,,
tt0420026,,,,,
tt4388222,,,,,
tt0094737,98,278,73,,
tt7133340,,,,,
tt4614922,,,,,
tt6712118,,,,,
tt0120783,62,330,64,,
tt0055825,,,,,
tt0076607,,,,,
tt2181959,3,18,,,
tt0327387,1,6,,,
tt0064569,2,4,,,
tt0238405,,,,,
tt0162349,,,,,
tt0096378,25,81,,,
tt8677246,,,,,
tt0218822,4,7,,,
tt2668158,,,,,
tt0262258,,,,,
tt0058610,7,12,,,
tt3324302,,,,,
tt8911302,,,,,
tt3053864,,,,,
tt0187417,,,,,
tt4214788,,,,,
tt0324328,,,,,
tt2100632,2,1,,,
tt1051699,,,,,
tt21637984,,,,,
tt0423129,,,,,
tt1535110,13,10,35,,
tt0171469,1,1,,,
tt0302674,96,335,54,,
tt0110480,8,8,,,
tt4242982,,,,,
tt0378697,,,,,
tt5250946,,,,,
tt0112428,,,,,
tt11722496,,,,,
tt10360860,,,,,
tt1858799,3,14,,,
tt20115096,23,37,49,,
tt6809036,,,,,
tt5593444,,,,,
tt0091165,15,37,15,,
tt0021377,10,20,,,
tt1932767,171,116,74,,
tt0166177,,,,,
tt0276209,,,,,
tt6226458,4,6,,,
tt0273900,,,,,
tt2071530,,,,,
tt2040365,,,,,
tt7232940,,,,,
tt4842312,,,,,
tt0007042,,,,,
